Close/Last,Volume,Open,High,Low,daily_returns
330.59,42885610,335.32,337.78,328.99,-0.017942548198318642
330.08,33401150,335.13,339.28,329.39,-0.0015426963913003355
329.49,30765980,330.3,333.49,327.8028,-0.001787445467765325
323.01,41779280,331.99,332.7,318.03,-0.019666757716470973
326.19,30032560,323.95,327.45,319.23,0.009844896442834594
334.92,31021940,331.64,335.8,330.1,0.02676354272050041
334.97,24760990,335.31,335.5,330.8,0.00014928938253921942
333.1,22214160,334.41,336.489,332.12,-0.005582589485625622
342.54,38095690,334.98,343.0,334.79,0.028339837886520503
339.4,28899430,340.68,343.79,339.08,-0.009166812635020838
328.34,44438700,333.22,334.64,324.11,-0.03258691809074843
334.65,35381120,328.61,335.19,324.5,0.019217883900834565
324.9,35034830,335.71,336.76,323.02,-0.029134917077543676
323.8,47983710,320.88,324.92,317.25,-0.0033856571252691703
319.91,28326530,320.05,322.8,317.57,-0.012013588634959826
327.29,24740600,323.29,327.73,319.8,0.023068988152918024
333.2,24831490,328.3,333.605,325.75,0.018057380304928206
334.69,19617850,332.75,336.39,332.73,0.004471788715486147
342.45,19947030,335.46,342.48,335.43,0.023185634467716376
341.25,15661470,343.15,343.81,340.32,-0.003504161191414723
341.95,15041960,341.3,344.3,339.68,0.0020512820512819108
339.32,15994470,341.91,343.13,338.82,-0.0076911829214797445
336.32,18000800,338.51,339.355,335.85,-0.008841211835435625
334.75,28918010,335.35,338.0,329.78,-0.0046681731684110606
329.01,32674310,334.83,335.2,326.12,-0.017147124719940288
316.38,40054330,325.86,326.07,315.98,-0.03838789094556394
313.88,39646150,313.15,318.7,311.49,-0.007901890132119616
314.04,32720020,314.15,316.5,310.09,0.000509748948642974
314.27,44289470,309.485,314.72,304.69,0.0007323907782446071
314.98,29386770,313.38,316.61,309.89,0.002259203869284576
318.27,34372220,319.67,323.41,317.08,0.010445107625880912
304.8,45365980,320.466,320.88,304.0,-0.04232255632010551
310.2,39846410,304.25,310.82,303.75,0.017716535433070835
302.65,42434110,304.07,309.8,301.74,-0.024339136041263698
303.33,45933860,306.29,313.9093,302.7,0.0022468197587972583
301.6,35380680,309.07,311.6494,301.14,-0.00570335937757549
296.03,57984400,302.685,304.11,295.61,-0.018468169761273412
296.37,86035390,292.2,297.11,276.05,0.0011485322433537615
288.49,72848640,291.52,294.99,285.17,-0.026588386138947873
296.71,90428850,307.985,308.5,293.03,0.028493188672050973
299.84,53481320,302.66,307.3,297.93,0.010549020929527142
308.26,49743700,300.23,308.48,294.45,0.028081643543223178
310.98,46444540,308.95,312.38,306.37,0.00882372023616429
